ID,run,day,n_vols,mean_FD,max_FD
sub-10,1,1,325,0.108875,0.981483
sub-10,2,2,333,0.087484,0.796088
sub-10,3,2,333,0.094662,0.983103
sub-10,4,2,333,0.082294,1.313356
sub-10,5,2,333,0.096701,0.72565
sub-10,6,3,325,0.099351,0.489389
sub-12,1,1,325,0.077078,0.293513
sub-12,2,2,333,0.093131,0.316996
sub-12,3,2,333,0.069931,0.291667
sub-12,4,2,333,0.09206,0.338462
sub-12,5,2,333,0.082657,0.368136
sub-12,6,3,325,0.079473,0.441678
sub-14,1,1,325,0.152422,0.704887
sub-14,2,2,333,0.208117,2.800937
sub-14,3,2,329,0.128709,0.627386
sub-14,4,2,329,0.128793,0.48632
sub-14,5,2,328,0.127032,0.523098
sub-14,6,3,325,0.206223,0.734685
sub-15,1,1,325,0.135247,0.452027
sub-15,2,2,333,0.145629,0.313333
sub-15,3,2,333,0.126607,0.337955
sub-15,4,2,333,0.122117,0.342424
sub-15,5,2,333,0.10775,0.393688
sub-15,6,3,325,0.163483,0.394568
sub-16,1,1,325,0.09557,0.887595
sub-17,1,1,325,0.070794,0.433216
sub-17,2,2,333,0.066026,0.2944
sub-17,3,2,333,0.068551,0.259815
sub-17,4,2,333,0.067348,0.514794
sub-17,5,2,333,0.073773,0.44293
sub-17,6,3,325,0.088546,1.9387
sub-18,1,1,325,0.113005,0.827373
sub-18,2,2,333,0.088589,0.385828
sub-18,3,2,333,0.094815,0.567954
sub-18,4,2,333,0.090721,0.55745
sub-18,5,2,333,0.080225,0.337186
sub-18,6,3,325,0.09985,0.527076
sub-19,1,1,325,0.09175,0.197445
sub-19,2,2,333,0.076366,0.204095
sub-19,3,2,333,0.080722,0.45568
sub-19,4,2,333,0.070818,0.506739
sub-19,5,2,333,0.084821,0.373732
sub-19,6,3,325,0.075043,0.286471
sub-20,1,1,325,0.102072,0.349043
sub-20,2,2,333,0.132873,1.610581
sub-20,3,2,333,0.098411,0.262018
sub-20,4,2,333,0.109205,0.379569
sub-20,5,2,333,0.103677,0.412536
sub-21,1,1,325,0.114216,0.409958
sub-21,2,2,333,0.07838,0.195808
sub-21,3,2,333,0.07238,0.327449
sub-21,4,2,333,0.084255,0.18033
sub-21,5,2,333,0.075586,0.154281
sub-21,6,3,325,0.098091,0.219634
sub-22,1,1,325,0.134577,1.114656
sub-22,2,2,333,0.108843,0.421766
sub-22,3,2,333,0.168541,1.856817
sub-22,4,2,333,0.137514,1.758852
sub-22,5,2,333,0.097617,0.865998
sub-22,6,3,325,0.173031,2.178197
sub-23,1,1,325,0.124704,0.259792
sub-23,2,2,333,0.072861,0.231053
sub-23,3,2,333,0.142367,0.918941
sub-23,4,2,333,0.135593,0.977165
sub-23,5,2,333,0.10077,0.326515
sub-23,6,3,325,0.172286,1.371828
sub-24,1,1,325,0.095589,0.951831
sub-24,2,2,333,0.139417,1.584953
sub-24,3,2,333,0.107142,0.916165
sub-24,4,2,333,0.095461,0.911901
sub-24,5,2,333,0.089375,0.712712
sub-24,6,3,325,0.115542,0.347626
sub-25,2,2,333,0.110714,0.95685
sub-25,3,2,333,0.09639,0.194117
sub-25,4,2,333,0.092882,0.864591
sub-25,5,2,333,0.088601,0.193588
sub-25,6,3,325,0.116569,0.222647
sub-26,1,1,325,0.115805,0.364019
sub-26,2,2,333,0.12184,0.485214
sub-26,3,2,333,0.104125,0.316491
sub-26,4,2,333,0.119982,0.444316
sub-26,5,2,333,0.119278,0.511931
sub-26,6,3,325,0.129265,0.549435
sub-27,1,1,325,0.118578,0.272408
sub-27,2,2,333,0.142573,0.37453
sub-27,3,2,333,0.221164,1.277038
sub-27,4,2,333,0.196814,1.18261
sub-27,5,2,333,0.164369,1.170517
sub-27,6,3,325,0.163946,0.369981
sub-28,1,1,325,0.092365,0.260626
sub-28,2,2,333,0.096791,0.68667
sub-28,3,2,333,0.090854,0.809475
sub-28,4,2,333,0.085843,0.534044
sub-28,5,2,333,0.079644,0.666694
sub-29,1,1,325,0.091891,0.231128
sub-29,2,2,333,0.081222,0.274022
sub-29,3,2,333,0.100096,0.328004
sub-29,4,2,333,0.089828,0.881393
sub-29,5,2,333,0.094342,1.464884
sub-29,6,3,325,0.127492,5.397129
sub-30,1,1,325,0.077018,0.2768
sub-30,2,2,333,0.062518,0.595775
sub-30,3,2,333,0.068798,1.429505
sub-30,4,2,333,0.05986,0.627269
sub-30,5,2,333,0.057957,0.192814
sub-30,6,3,325,0.054645,0.159017
sub-31,1,1,325,0.129866,0.97889
sub-31,2,2,333,0.171618,0.576025
sub-31,3,2,333,0.142043,0.438325
sub-31,4,2,333,0.153503,0.923446
sub-31,6,3,325,0.183213,1.215096
sub-32,2,2,333,0.052796,0.146643
sub-32,3,2,333,0.067722,0.392232
sub-32,4,2,333,0.065348,0.716752
sub-32,5,2,333,0.078322,1.0726
sub-32,6,3,325,0.064839,0.32901
sub-33,1,1,325,0.083812,0.168628
sub-33,2,2,333,0.084068,0.290327
sub-33,3,2,333,0.10214,0.44299
sub-33,4,2,333,0.070701,0.298483
sub-33,5,2,333,0.069457,0.134418
sub-33,6,3,325,0.1044,0.453129
sub-34,1,1,325,0.090115,0.312414
sub-34,2,2,333,0.089885,0.429529
sub-34,3,2,333,0.126414,0.294371
sub-34,4,2,333,0.072682,0.194783
sub-34,5,2,333,0.062807,0.142371
sub-34,6,3,325,0.075876,0.174454
