ID,r1e1,r1e2,r1e3,r1e4,r2e1,r2e2,r2e3,r2e4,r3e1,r3e2,r3e3,r3e4,r4e1,r4e2,r4e3,r4e4,r5e1,r5e2,r5e3,r5e4,r6e1,r6e2,r6e3,r6e4
sub-10,80.935975,53.053475,36.956094,26.119294,66.779534,44.793249,29.955907,21.833669,64.332528,43.096200,29.800964,20.663559,76.373538,52.618807,37.016664,26.157491,74.455132,50.909231,35.012999,25.774964,74.505492,47.636892,32.184943,23.028014
sub-11,70.096308,44.651057,32.756852,23.125059,71.019176,48.324618,33.015966,23.666892,73.060523,48.295727,33.837378,24.020245,75.208327,50.768158,34.923797,24.977483,74.307403,50.157175,34.181397,25.483542,81.605538,54.343360,36.470778,25.471415
sub-12,79.324250,52.239944,35.118087,26.297896,77.358191,53.105709,37.467376,26.561138,80.326121,56.182250,40.405061,28.456890,73.007471,49.638275,33.061855,23.122450,80.201219,53.915569,37.371178,26.675198,79.034834,51.463667,36.255395,25.780248
sub-13,74.104247,48.050380,33.775630,24.020416,74.571033,49.327833,33.797459,25.542201,74.184278,49.260336,32.952436,22.986777,66.897759,45.688466,30.597064,20.177014,63.918407,43.382315,28.807349,20.302304,70.269566,48.093809,31.605199,21.720307
sub-14,70.233671,42.553181,28.933207,20.904001,44.855971,28.219033,18.531620,13.055096,65.929641,41.920427,28.116599,19.750289,69.582061,45.975461,29.630783,21.551567,72.199712,47.914018,32.668268,22.264193,60.605338,39.238614,25.927994,18.457721
sub-15,69.855402,45.748536,31.292503,22.219617,78.271709,54.883391,38.592724,26.925450,72.319990,49.529080,35.497326,24.808817,72.473083,48.609346,32.652088,22.636007,74.824551,50.697626,34.946062,23.909887,68.270735,46.414604,31.052723,23.088855
sub-16,76.072802,49.427050,34.642812,24.844493,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
sub-17,89.508811,59.100478,40.122706,28.472187,82.055650,56.319173,38.333476,27.175042,76.435795,53.856914,38.263390,27.325705,79.067039,55.417325,37.791414,27.311290,78.619739,53.874018,36.765271,25.142457,74.116778,47.521804,31.654680,21.903140
sub-18,66.222433,42.664768,29.960630,21.407180,72.767395,48.692000,34.424657,23.454270,68.904043,44.749505,32.032011,22.404991,67.952031,46.473455,31.941552,21.687522,75.487669,50.496635,35.567465,25.287238,78.448684,52.726117,37.534682,26.104480
sub-19,75.145132,46.922623,31.985347,23.057669,66.328366,43.810063,31.028306,21.285493,71.695168,48.326996,32.794094,23.080282,71.786406,49.359491,33.221824,22.901330,62.174519,38.142758,27.624927,18.449057,77.218440,52.598269,35.185342,24.339165
sub-20,77.786495,51.389451,35.251153,25.463856,59.564920,40.022684,26.770005,19.324956,69.996721,48.453830,34.418854,24.029600,67.140357,46.159828,31.642030,22.094013,68.819404,47.130944,31.701326,22.692261,NaN,NaN,NaN,NaN
sub-21,76.629212,51.062815,34.412701,24.391920,80.148431,55.383151,37.284879,25.801371,82.794552,58.893056,41.052707,28.137011,82.482237,58.319689,39.250242,28.179805,86.307085,60.374777,42.540737,29.963451,92.985095,61.919971,43.089246,31.314047
sub-22,68.565019,43.068720,30.402665,23.089198,71.550842,47.925971,32.511733,24.202470,57.571461,36.605952,25.808480,18.598136,54.881231,34.085635,23.532499,17.183452,67.737755,44.326014,31.363736,20.985485,58.935604,36.821010,24.126328,16.875850
sub-23,79.859407,52.026257,35.297014,26.192398,79.681569,55.494438,35.523363,25.133308,46.751684,30.554543,21.610815,14.158793,54.408966,36.732430,23.245960,18.094284,76.985838,52.286915,34.789505,25.799671,56.513077,37.972005,26.445106,19.525201
sub-24,69.235925,45.984114,29.947538,20.370141,62.236010,41.904242,27.781260,19.052200,65.988747,44.160184,29.203725,20.468417,76.769248,52.954493,35.667305,23.427673,74.094309,50.591671,33.306342,22.642721,77.993340,51.132675,35.017109,24.681754
sub-25,NaN,NaN,NaN,NaN,75.704681,52.674283,35.141883,26.023067,67.391119,43.444258,30.629008,22.125691,79.621414,55.776300,39.948752,28.819217,80.477202,56.616623,40.188349,29.305317,69.830708,45.389008,30.576877,21.857533
sub-26,86.218496,60.368084,40.841558,28.777601,77.697599,52.808730,35.823818,24.324674,78.929087,54.159559,37.159693,25.698976,76.857396,52.060019,35.976471,24.711340,76.458708,52.717271,34.971194,24.694190,85.969982,55.754500,36.341494,25.803263
sub-27,74.383793,50.816414,35.388133,25.099087,71.067015,49.476192,34.367858,23.847066,50.449305,32.375660,21.809894,14.403922,58.442044,39.309930,26.453762,18.643397,56.619070,37.176441,25.174980,18.270256,73.809951,49.486938,32.203518,22.857985
sub-28,73.037161,44.619905,30.873136,22.444168,79.154182,53.415844,37.817652,26.071566,77.133163,52.688971,36.266213,25.032277,76.236616,51.851015,36.207883,24.796532,81.098705,54.896372,38.538392,25.734992,NaN,NaN,NaN,NaN
sub-29,66.438964,43.219405,27.668842,20.052305,63.352495,42.740676,29.144166,19.793809,43.235425,27.529377,18.903577,12.745141,61.304940,40.715140,27.601253,19.581145,49.709590,32.849806,21.842123,15.450452,61.765820,40.192934,27.388329,19.775857
sub-30,63.445503,39.983762,24.579879,17.518104,77.112948,51.668046,33.221121,23.102371,69.087382,47.163697,31.459811,20.916877,74.858602,50.937791,36.052327,25.039790,75.659820,51.749193,36.732342,25.065979,89.353062,60.206947,41.992968,29.138643
sub-31,53.217404,35.656486,23.979446,16.621644,54.258644,37.267637,26.614830,18.738661,56.175422,38.448460,26.805875,20.588368,58.652998,41.615588,30.056647,20.260941,46.792205,32.755286,23.592512,15.286841,59.029022,37.906333,26.031530,18.053273
sub-32,77.604825,49.590024,34.048786,24.533181,79.204769,55.100285,39.980193,28.652875,64.527666,43.638959,30.969991,22.893775,75.308035,53.833168,37.782803,26.635461,63.939619,44.275815,31.120441,22.049769,82.015072,55.760228,40.352568,28.989814
sub-33,91.151507,63.487914,43.659839,31.394134,75.408782,52.333497,35.116408,23.785402,67.035283,44.655995,29.013753,20.955767,80.690096,56.420552,40.189706,28.826932,82.914854,57.427835,40.251420,27.701748,85.084708,57.442081,40.293966,27.543822
sub-34,69.745856,46.022841,33.537230,24.103204,68.699264,48.724766,35.126463,25.112619,60.235663,41.955678,29.761706,20.766270,71.431354,51.886041,37.196912,27.051492,67.742489,48.726194,35.107306,24.393887,76.402562,53.629574,37.847705,27.608135

