ID,run,day,echo,mean_tSNR,median_tSNR,sd_tSNR,n_voxels
sub-10,1,1,1,90.038520,87.001160,34.528516,49638
sub-10,1,1,2,61.518122,60.564823,26.227456,49638
sub-10,1,1,3,43.438310,43.538383,20.899840,49638
sub-10,1,1,4,31.450094,31.867708,16.558439,49638
sub-10,2,2,1,74.940113,74.277855,26.254100,49005
sub-10,2,2,2,51.429512,52.207172,21.101996,49005
sub-10,2,2,3,36.200583,37.101307,17.073631,49005
sub-10,2,2,4,26.098054,26.821297,13.537224,49005
sub-10,3,2,1,72.682614,72.119446,25.088497,49044
sub-10,3,2,2,49.706924,50.473480,20.169141,49044
sub-10,3,2,3,35.028559,35.978069,16.350793,49044
sub-10,3,2,4,25.203699,25.978481,12.958581,49044
sub-10,4,2,1,80.891593,79.970757,27.412113,48609
sub-10,4,2,2,57.013201,57.531372,21.903479,48609
sub-10,4,2,3,40.956804,42.085636,17.978735,48609
sub-10,4,2,4,29.789635,30.744658,14.480041,48609
sub-10,5,2,1,78.784414,77.800476,27.309251,49087
sub-10,5,2,2,55.216547,55.671398,21.844640,49087
sub-10,5,2,3,39.368902,40.429497,17.743778,49087
sub-10,5,2,4,28.510916,29.441004,14.201711,49087
sub-10,6,3,1,84.749846,81.477501,32.108152,48819
sub-10,6,3,2,57.197574,56.269268,24.545649,48819
sub-10,6,3,3,39.946017,40.039429,19.479081,48819
sub-10,6,3,4,28.767375,28.992628,15.379806,48819
sub-11,1,1,1,78.164510,76.508430,29.187369,53537
sub-11,1,1,2,53.506459,53.577026,23.522766,53537
sub-11,1,1,3,37.577332,38.566013,18.898664,53537
sub-11,1,1,4,27.043574,27.939835,14.939284,53537
sub-11,2,2,1,76.921176,75.476791,27.858533,53889
sub-11,2,2,2,52.710744,53.006489,22.248633,53889
sub-11,2,2,3,37.154821,38.055603,17.950016,53889
sub-11,2,2,4,26.691540,27.465014,14.314641,53889
sub-11,3,2,1,78.042449,76.487846,27.943908,53843
sub-11,3,2,2,53.327327,53.610310,22.171082,53843
sub-11,3,2,3,37.652773,38.647560,17.942859,53843
sub-11,3,2,4,27.113240,28.141905,14.371240,53843
sub-11,4,2,1,78.659777,77.414124,27.381857,53794
sub-11,4,2,2,54.201911,54.740490,21.759222,53794
sub-11,4,2,3,38.203600,39.494186,17.623397,53794
sub-11,4,2,4,27.394992,28.659452,14.089290,53794
sub-11,5,2,1,79.189842,78.564674,26.379033,53739
sub-11,5,2,2,54.602032,55.365467,21.254295,53739
sub-11,5,2,3,38.684151,40.203873,17.473844,53739
sub-11,5,2,4,27.712274,29.176540,13.977952,53739
sub-11,6,3,1,85.584628,80.922638,34.287677,53812
sub-11,6,3,2,59.843726,57.945980,26.337685,53812
sub-11,6,3,3,42.695421,42.421413,21.107352,53812
sub-11,6,3,4,30.913443,30.883801,16.935457,53812
sub-12,1,1,1,91.045902,87.185516,36.634402,50447
sub-12,1,1,2,62.200672,61.243088,27.582834,50447
sub-12,1,1,3,44.004345,44.230980,21.623403,50447
sub-12,1,1,4,32.150081,32.592079,17.177932,50447
sub-12,2,2,1,80.520970,80.676476,26.503450,50501
sub-12,2,2,2,56.776920,57.968796,21.825727,50501
sub-12,2,2,3,40.833199,42.343079,17.912219,50501
sub-12,2,2,4,29.466366,30.881346,14.344009,50501
sub-12,3,2,1,83.186381,82.776764,27.146821,50396
sub-12,3,2,2,58.830754,59.767159,22.111442,50396
sub-12,3,2,3,42.564168,44.005291,18.221176,50396
sub-12,3,2,4,30.783920,32.206619,14.614142,50396
sub-12,4,2,1,79.364721,79.053177,27.195785,50354
sub-12,4,2,2,54.750728,55.561466,22.027378,50354
sub-12,4,2,3,39.022570,40.360046,17.793689,50354
sub-12,4,2,4,28.222437,29.444050,14.130111,50354
sub-12,5,2,1,82.119791,82.228409,26.981228,50544
