ID,r1e1,r1e2,r1e3,r1e4,r2e1,r2e2,r2e3,r2e4,r3e1,r3e2,r3e3,r3e4,r4e1,r4e2,r4e3,r4e4,r5e1,r5e2,r5e3,r5e4,r6e1,r6e2,r6e3,r6e4
sub-10,90.038520,61.518122,43.438310,31.450094,74.940113,51.429512,36.200583,26.098054,72.682614,49.706924,35.028559,25.203699,80.891593,57.013201,40.956804,29.789635,78.784414,55.216547,39.368902,28.510916,84.749846,57.197574,39.946017,28.767375
sub-11,78.164510,53.506459,37.577332,27.043574,76.921176,52.710744,37.154821,26.691540,78.042449,53.327327,37.652773,27.113240,78.659777,54.201911,38.203600,27.394992,79.189842,54.602032,38.684151,27.712274,85.584628,59.843726,42.695421,30.913443
sub-12,91.045902,62.200672,44.004345,32.150081,80.520970,56.776920,40.833199,29.466366,83.186381,58.830754,42.564168,30.783920,79.364721,54.750728,39.022570,28.222437,82.119791,56.954333,40.666702,29.452654,83.224861,56.949741,40.773305,29.879409
sub-13,80.282611,55.606557,39.815670,28.958840,79.819384,56.027398,39.992449,28.747472,79.847017,55.727329,39.661736,28.434563,73.408881,51.323319,36.338781,26.031666,70.118504,48.754758,34.568036,24.870142,77.517895,53.510431,37.800970,27.074402
sub-14,76.350012,49.826672,34.935071,25.423372,55.380491,37.538790,26.752870,19.616354,70.183035,46.623740,32.899582,23.723942,73.236296,48.628706,34.426646,24.927452,74.492971,50.185177,35.553740,25.685570,67.723999,43.942560,30.927665,22.398295
sub-15,79.752048,53.742785,37.727376,27.099713,80.749189,56.203476,39.940659,28.723855,77.523232,53.326119,37.737452,27.142549,78.478104,53.828662,37.837826,27.113097,79.362664,54.424759,38.357256,27.422279,79.551341,55.033667,38.933430,28.260431
sub-16,82.699628,56.604612,40.795443,30.163555,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
sub-17,91.938831,62.414015,44.932356,33.003560,83.652128,57.068116,40.911515,29.698338,79.511223,55.707662,40.197469,29.272875,80.854503,55.472923,39.812882,28.903569,80.104691,55.059387,39.538705,28.728366,81.715414,54.565991,38.844373,28.272930
sub-18,72.275256,49.929570,35.817284,26.196123,76.757547,54.012603,38.759928,27.949931,73.653255,50.731923,36.203262,26.136927,73.880352,51.332251,36.776435,26.621604,77.014498,54.169764,38.859905,28.059599,81.319763,56.224202,40.490435,29.550703
sub-19,85.525097,56.593397,39.335124,27.976380,75.004936,50.804309,35.455189,25.328367,78.017547,52.663359,36.864566,26.359348,78.568999,52.985221,37.082993,26.515022,71.402811,47.792801,33.413018,23.937693,85.009305,56.442699,39.232201,27.880918
sub-20,82.384679,56.995726,40.814054,29.673584,64.307934,44.189790,31.537314,22.849517,72.697665,50.664451,36.531851,26.454792,70.307493,48.370780,34.675578,25.091494,72.473518,50.174859,35.876854,25.866651,NaN,NaN,NaN,NaN
sub-21,87.570649,60.118664,42.299935,30.594376,84.159358,58.138613,41.136989,29.288712,85.643325,59.527207,42.335000,30.238528,85.400074,59.021341,41.887970,29.958769,88.136529,61.552707,43.949950,31.420162,95.934992,66.282736,47.083102,34.317781
sub-22,79.287310,53.190685,37.682873,27.484526,79.972522,53.581395,38.200139,28.144695,67.500957,45.968526,32.667977,24.019772,68.546247,45.547914,32.118967,23.534775,75.259546,50.920096,36.152697,26.430884,76.703934,49.761820,35.029311,25.671666
sub-23,84.887956,57.472562,40.521342,29.491054,81.301009,56.373522,39.824875,28.971151,62.659399,42.932031,29.901581,21.708986,61.640225,42.234861,29.795188,21.845575,80.398302,54.587693,38.270676,27.880150,66.988381,46.052133,32.852201,24.269540
